28,25,18,07,32,04,05
29,01,02,20,38,07,07
01,31,19,07,10,04,05
28,16,31,23,32,03,08
31,24,01,38,29,33,03
38,12,36,06,20,02,06
03,11,20,22,26,27,03
17,28,29,33,35,36,08
01,06,07,18,28,34,06
01,02,19,25,30,31,04
01,04,10,22,25,31,08
10,14,18,21,32,33,07
11,24,35,03,02,19,02
10,32,28,31,04,21,07
29,10,37,16,23,08,02
20,32,38,04,15,06,03
36,32,13,10,30,37,02
08,11,23,38,19,25,05
04,11,20,26,12,38,07
38,19,35,28,23,09,01
26,14,08,13,16,03,05
13,14,05,29,26,18,07
15,17,27,35,23,01,07
16,37,30,10,02,33,04
24,05,31,04,19,37,08
06,04,11,18,05,26,04
32,01,36,14,11,03,02
08,17,33,37,20,18,02
37,27,04,35,19,29,04
27,24,07,34,16,03,08
19,38,17,36,31,32,04
25,37,33,32,28,02,08
20,30,06,31,14,12,01
15,16,21,29,31,33,04
18,27,17,24,15,25,06
05,07,17,23,26,06,07
26,34,32,36,10,01,08
17,26,22,12,03,02,01
29,03,32,31,09,34,05
17,36,21,22,07,19,03
05,38,13,06,14,26,05
36,31,25,03,15,35,03
10,25,31,30,19,24,07
03,29,37,08,21,17,08
16,38,19,35,02,06,08
11,24,26,13,16,08,04
08,30,21,19,06,12,08
32,10,30,22,37,02,04
22,04,01,30,19,33,04
37,22,38,36,16,10,04
12,37,15,36,03,13,03
09,07,11,18,36,31,01
25,08,29,15,38,33,01
27,10,06,22,04,34,02
26,20,28,36,30,03,05
33,04,23,15,06,35,03
35,30,15,17,19,38,01
17,05,37,01,12,31,06
22,19,37,02,07,33,01
32,14,02,12,28,04,02
02,31,10,33,12,37,01
13,29,37,30,32,03,06
01,07,19,20,21,26,07
22,08,23,05,20,18,01
06,35,19,01,34,25,08
34,27,22,19,14,31,07
06,14,33,17,24,23,01
34,07,27,38,08,37,01
25,18,29,08,06,01,05
15,14,35,11,30,02,07
07,06,37,08,05,32,03
12,21,25,03,37,02,04
08,16,01,36,14,13,07
15,06,22,35,10,29,01
11,13,02,29,10,27,02
27,36,26,16,07,33,04
21,15,06,08,04,12,07
04,06,07,17,32,36,07
21,17,34,03,18,01,07
11,24,25,37,07,38,03
27,23,38,11,20,22,02
05,18,37,19,15,24,06
33,15,37,01,36,34,08
13,27,01,04,35,16,08
20,24,12,18,14,27,02
09,34,08,25,20,19,02
17,18,06,27,25,34,06
19,29,37,36,33,10,01
38,30,05,20,26,22,04
02,15,31,30,12,25,06
16,12,05,10,28,23,07
20,27,08,06,23,14,03
13,26,37,36,27,22,05
01,26,08,23,34,27,03
08,23,32,35,19,27,08
21,11,24,34,20,18,05
24,14,03,13,30,01,06
14,13,32,11,25,12,08
05,16,32,13,04,37,07
35,18,20,09,33,04,04
03,16,35,19,26,31,03
21,32,04,33,06,09,02
21,08,02,37,35,05,08
31,21,07,19,27,10,05
09,27,07,28,29,01,02
10,35,25,29,06,14,03
22,23,20,11,13,04,02
24,17,09,35,01,19,05
03,19,07,04,15,10,05
06,10,11,26,27,30,04
31,32,15,28,10,18,04
25,34,09,02,30,27,05
15,23,03,30,32,21,07
36,18,11,33,37,07,06
08,07,03,13,18,11,06
08,36,06,29,24,23,08
38,02,04,19,16,09,01
27,38,17,20,11,18,05
29,14,04,08,01,03,07
38,04,14,20,07,23,03
37,28,20,06,12,25,08
09,29,24,04,15,35,08
07,16,23,24,29,34,05
09,02,22,14,01,12,02
35,37,13,19,08,30,07
23,20,04,12,03,10,04
01,04,15,07,16,09,06
15,11,27,06,21,26,03
09,12,23,37,11,28,04
09,22,23,03,13,37,01
17,37,04,12,29,20,03
21,34,17,09,26,18,01
14,34,35,15,10,12,06
25,03,12,23,01,21,02
08,22,32,15,26,17,01
15,01,11,29,38,18,01
08,32,36,35,23,09,07
01,10,19,31,24,21,05
30,32,35,27,26,06,02
13,27,03,25,18,04,01
10,05,12,26,38,35,02
35,16,17,11,19,01,05
35,03,04,17,02,14,01
22,03,18,05,27,37,01
17,15,34,09,04,10,03
18,22,23,25,02,13,04
21,14,37,32,25,20,03
06,04,05,28,16,18,01
21,28,25,06,29,15,04
19,38,13,11,31,23,03
12,10,36,29,06,01,04
31,22,07,35,17,16,02
07,21,17,15,03,34,08
15,38,18,29,34,04,04
08,20,12,30,27,29,01
33,22,07,26,29,17,07
36,16,14,15,03,20,05
21,24,34,13,14,08,06
04,28,37,26,38,16,01
30,24,01,16,15,26,05
35,16,25,15,31,37,04
07,37,03,35,21,38,03
17,29,06,02,38,04,08
